Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Stem	Pattern	count	Feedback	Tag	marks
ajja	ind	adv						today; now				ima + jja	adya		SN 47.8	sūdasuttaṃ	sa kho so, bhikkhave, bālo abyatto akusalo sūdo sakassa bhattu nimittaṃ na uggaṇhāti, idaṃ vā me <b>ajja</b> bhattu sūpeyyaṃ ruccati, imassa vā abhiharati, imassa vā bahuṃ gaṇhāti, imassa vā vaṇṇaṃ bhāsati.				-		226.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajja&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
ajjatagge	ind	adv, comp, loc sg						from today onwards; lit. today first				ajja + [t] + agga + e<br/>ajjatagga + e	adyaprabhṛti		VIN PAT PC 70	kaṇṭakasikkhāpadaṃ	<b>ajja't'agge</b> te, āvuso, samaṇ'uddesa na c'eva so bhagavā satthā apadisitabbo, yam'pi c'aññe samaṇ'uddesā labhanti bhikkhūhi saddhiṃ dirattatirattaṃ sahaseyyaṃ, s'āpi te n'atthi, cara'pi re, vinassā'ti.				-		156.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajjatagge&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
atippago	ind	adv					+inf	too early (to)				ati + pago	atiprage		MN 13	mahā dukkhakkhandhasuttaṃ	atha kho tesaṃ bhikkhūnaṃ etad'ahosi, <b>atippago</b> kho tāva sāvatthiyaṃ piṇḍāya carituṃ, yaṃ nūna mayaṃ yena aññatitthiyānaṃ paribbājakānaṃ ārāmo ten'upasaṅkameyyāmā'ti				-		22.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atippago&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
āyatiṃ	ind	adv, acc sg	āyati					in future		√yat 1 a (to stretch, strive)		ā + √yat + i + iṃ<br/>āyati + iṃ	āyati	√yat	VIN 4.4.125	āpattipaṭikamma vidhi	tena vattabbo, passasī'ti. āma passāmī'ti. <b>āyatiṃ</b> saṃvareyyāsī'ti				-		475.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āyatiṃ&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
idāni	ind	adv	ima					now; soon; at present				ima + dāni	idānīm		DN 16.26	mahāparinibbānasuttaṃ	<b>idāni</b>, bhante, deve vassante deve gaḷagaḷāyante vijjullatāsu niccharantīsu asaniyā phalantiyā dve kassakā bhātaro hatā cattāro ca balibaddā				-		93.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=idāni&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
ekadā	ind	adv	eka					one day; sometimes; at some (unspecified) time; lit. one time				eka + dā	ekadā		SN 46.55	saṅgāravasuttaṃ	ko nu kho, bho gotama, hetu, ko paccayo yen'<b>ekadā </b>dīgharattaṃ sajjhāyakatā'pi mantā nappaṭibhanti, pag'eva asajjhāyakatā?				-		33.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekadā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
ekadā	ind	adv	eka					at once; immediately; suddenly; lit. one time				eka + dā	ekadā		SN 3.1	daharasuttaṃ	ucc'āvacehi vaṇṇehi,<br/>urago carati tejasī,<br/>so āsajja ḍaṃse bālaṃ,<br/>naraṃ nāriñ'ca <b>ekadā</b>,<br/>tasmā taṃ parivajjeyya,<br/>rakkhaṃ jīvitam'attano.				-		33.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekadā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kadā	ind	adv, interr	ka					when?				ka + dā	kadā		TH 262	tālapuṭattheragāthā	<b>kadā</b> nu'haṃ pabbatakandarāsu,<br/>ekākiyo addutiyo vihassaṃ,<br/>aniccato sabbabhavaṃ vipassaṃ,<br/>taṃ me idaṃ taṃ nu <b>kadā</b> bhavissati.				-		51.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kadā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tadā	ind	adv	ta					then; at that time				ta + dā	tadā		SN 22.95	pheṇapiṇḍūpamasuttaṃ	āyu usmā ca viññāṇaṃ,<br/>yadā kāyaṃ jahant'imaṃ,<br/>apaviddho <b>tadā</b> seti,<br/>parabhattaṃ acetanaṃ.				-		217.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tadā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
dāni	ind	adv	ima					now; immediately				ima + dāni	idānīm		DN 16.36	mahāparinibbānasuttaṃ	atha kho bhagavā bhikkhū āmantesi, handa <b>dāni</b>, bhikkhave, āmantayāmi vo, vayadhammā saṅkhārā appamādena sampādethā'ti. ayaṃ tathāgatassa pacchimā vācā.				-		458.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dāni&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
pacchā	ind	adv, abl sg	paccha					afterwards; later; in the future				paccha + ā	paścāt		MN 152	indriyabhāvanāsuttaṃ	mā <b>pacchā</b> vippaṭisārino ahuvattha				-		258.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pacchā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
pacchā	ind	adv, abl sg	paccha					behind				paccha + ā	paścāt		AN 3.91	dutiya sikkhattayasuttaṃ	yathā pure tathā <b>pacchā</b>,<br/>yathā <b>pacchā</b> tathā pure,<br/>yathā adho tathā uddhaṃ,<br/>yathā uddhaṃ tathā adho.				-		258.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pacchā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
pacchā	ind	adv, in comps, abl sg	paccha					western; westward				paccha + ā	paścāt		AN 10.176	cundasuttaṃ	brāhmaṇā, bhante, <b>pacchā</b>bhūmakā kamaṇḍalukā sevālamālikā aggiparicārikā udak'orohakā soceyyāni paññapenti, tes'āhaṃ soceyyāni rocemī'ti				-		258.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pacchā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
pacchā	ind	adv, in comps, abl sg	paccha					backwards				paccha + ā	paścāt		AN 8.14	assakhaḷuṅkasuttaṃ	puna caparaṃ, bhikkhave, idh'ekacco assakhaḷuṅko, pehī'ti vutto, viddho samāno codito sārathinā <b>pacchā</b> laṅghati, kubbaraṃ hanati, tidaṇḍaṃ bhañjati. evarūpo'pi, bhikkhave, idh'ekacco assakhaḷuṅko hoti. ayaṃ, bhikkhave, dutiyo assadoso.				-		258.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pacchā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
pāto	ind	adv, in comps						early; in the morning					prātar		SN 3.12	pañcarājasuttaṃ	padumaṃ yathā kokanadaṃ sugandhaṃ,<br/><b>pāto</b> siyā phullam'avītagandhaṃ,<br/>aṅgīrasaṃ passa virocamānaṃ,<br/>tapantam'ādiccam'iv'antalikkhe'ti.				-		51.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāto&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
pubbe	ind	adv, loc sg	pubba				+abl	before; previously; formerly; in the past				pubba + e	pūrvam		AN 4.122	ūmibhayasuttaṃ	tassa evaṃ hoti, mayaṃ kho <b>pubbe</b> agāriyabhūtā samānā aññe ovadāma'pi anusāsāma'pi. ime pan'amhākaṃ puttamattā maññe nattamattā maññe ovaditabbaṃ anusāsitabbaṃ maññantī'ti.				-		573.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pubbe&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
pubbe	ind	adv, loc sg	pubba				+abl	(gram) in front (of); before				pubba + e	pūrvam		kaccāyana	samāsakappa 332	kammadhārayasaññe ca samāse itthiyaṃ tuly'ādhikaraṇe pade <b>pubbe</b> bhāsitapum'itthī ce, pumā'va daṭṭhabbā. brāhmaṇadārikā, khattiyakaññā, khattiyakumārikā.				-		573.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pubbe&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
purā	ind	prep, abl sg	pura				+abl	before				pura + ā	purā		SNP 48	purābhedasuttaṃ<br/>aṭṭhakavaggo 10	vītataṇho <b>purā</b> bhedā,<br/>pubbam'antam'anissito,<br/>vemajjhe n'upasaṅkheyyo,<br/>tassa n'atthi purakkhataṃ.				-		23.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=purā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
purā	ind	adv											purā								-		23.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=purā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
yadā	ind	adv	ya					when; whenever				ya + dā	yadā		DHP 277	maggavaggo	sabbe saṅkhārā aniccā'ti,<br/><b>yadā</b> paññāya passati,<br/>atha nibbindati dukkhe,<br/>esa maggo visuddhiyā.				-		343.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yadā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
sadā	ind	adv	saṃ					always; ever; all the time				saṃ + dā	sadā		DHP 79	paṇḍitavaggo	dhammapīti sukhaṃ seti,<br/>vippasannena cetasā,<br/>ariyappavedite dhamme,<br/><b>sadā</b> ramati paṇḍito.				-		130.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sadā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
sāyaṃ	ind	adv, acc sg	sāya					in the evening; at night; late at night		√sā 1 a (to complete, accomplish)		√sā + ya + aṃ<br/>sāya + aṃ	sāyam	√so	SN 22.96	gomayapiṇḍasuttaṃ	tassa mayhaṃ, bhikkhu, rañño sato khattiyassa muddh'āvasittassa caturāsītithālipākasahassāni ahesuṃ, <b>sāyaṃ</b> pātaṃ bhatt'ābhihāro abhihariyittha.				-		94.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sāyaṃ&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
suve	ind	adv						tomorrow					śvas		DHP 229	kodhavaggo	yaṃ ce viññū pasaṃsanti,<br/>anuvicca <b>suve suve</b>,<br/>acchiddavuttiṃ medhāviṃ,<br/>paññāsīlasamāhitaṃ.				-		30.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=suve&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
