Pāli1	POS	Pattern	count
viharati	pr	ati pr	5581.0
karoti	pr	karoti pr	2597.0
pajānāti	pr	āti pr	2534.0
vadati	pr	ati pr	2432.0
gacchati	pr	ati pr	2118.0
passati	pr	ati pr	1869.0
uppajjati	pr	ati pr	1820.0
jānāti	pr	āti pr	1776.0
maññati	pr	ati pr	1527.0
vadeti	pr	eti pr	1429.0
saṃvattati	pr	ati pr	1107.0
upapajjati	pr	ati pr	922.0
carati	pr	ati pr	887.0
deti	pr	eti pr	849.0
bhāsati	pr	ati pr	833.0
labhati	pr	ati pr	768.0
tiṭṭhati	pr	ati pr	745.0
suṇāti	pr	āti pr	739.0
dhāreti	pr	eti pr	737.0
samanupassati	pr	ati pr	617.0
āgacchati	pr	ati pr	613.0
āpajjati	pr	ati pr	575.0
pucchati	pr	ati pr	575.0
bhuñjati	pr	ati pr	542.0
byākaroti	pr	oti pr	535.0
bhaṇati	pr	ati pr	469.0
nappajānāti	pr	āti pr	462.0
pajahati	pr	ati pr	440.0
sikkhati	pr	ati pr	436.0
nibbindati	pr	ati pr	423.0
ujjhāyati	pr	ati pr	412.0
uddisati	pr	ati pr	394.0
anussarati	pr	ati pr	356.0
paṭisaṃvedeti	pr	eti pr	331.0
upeti	pr	eti pr	312.0
pabbajati	pr	ati pr	310.0
dadāti	pr	āti pr	309.0
ākaṅkhati	pr	ati pr	291.0
jāyati	pr	ati pr	290.0
paṭiggaṇhāti	pr	āti pr	288.0
icchati	pr	ati pr	287.0
ājānāti	pr	āti pr	282.0
saṃsandati	pr	ati pr	276.0
parihāyati	pr	ati pr	270.0
ceteti	pr	eti pr	253.0
vāyamati	pr	ati pr	241.0
pakkamati	pr	ati pr	237.0
pariyesati	pr	ati pr	233.0
paribhuñjati	pr	ati pr	232.0
paṭijānāti	pr	āti pr	232.0
chindati	pr	ati pr	230.0
nisīdati	pr	ati pr	229.0
gaṇhāti	pr	āti pr	225.0
vasati	pr	ati pr	223.0
khādati	pr	ati pr	221.0
paṭisañcikkhati	pr	ati pr	218.0
ācikkhati	pr	ati pr	216.0
āmasati	pr	ati pr	212.0
vaḍḍhati	pr	ati pr	204.0
sañjānāti	pr	āti pr	196.0
jhāyati	pr	ati pr	196.0
ārabhati	pr	ati pr	194.0
abhivaḍḍhati	pr	ati pr	192.0
upasaṅkamati	pr	ati pr	192.0
khamati	pr	ati pr	191.0
paṭipajjati	pr	ati pr	190.0
rakkhati	pr	ati pr	190.0
socati	pr	ati pr	185.0
vedayati	pr	ati pr	183.0
anujānāti	pr	āti pr	182.0
vattati	pr	ati pr	182.0
jīvati	pr	ati pr	181.0
assasati	pr	ati pr	180.0
paṭibhāti	pr	āti pr	179.0
santiṭṭhati	pr	ati pr	175.0
passasati	pr	ati pr	173.0
pavisati	pr	ati pr	172.0
nandati	pr	ati pr	165.0
sakkoti	pr	oti pr	163.0
ajjhāvasati	pr	ati pr	159.0
pasavati	pr	ati pr	157.0
vedeti	pr	eti pr	154.0
namati	pr	ati pr	153.0
vandati	pr	ati pr	153.0
samudācarati	pr	ati pr	151.0
akkhāti	pr	āti pr	149.0
paṭinissajjati	pr	ati pr	149.0
arahati	pr	ati pr	149.0
pasīdati	pr	ati pr	149.0
vivarati	pr	ati pr	148.0
seti	pr	eti pr	140.0
samāpajjati	pr	ati pr	136.0
pivati	pr	ati pr	135.0
harati	pr	ati pr	135.0
vijānāti	pr	āti pr	135.0
phusati	pr	ati pr	134.0
jahāti	pr	āti pr	132.0
pātubhavati	pr	ati pr	131.0
dīpeti	pr	eti pr	130.0
udāneti	pr	eti pr	130.0
bandhati	pr	ati pr	130.0
upakkamati	pr	ati pr	129.0
pāpuṇāti	pr	āti pr	128.0
abhinandati	pr	ati pr	128.0
nābhinandati	pr	ati pr	127.0
sarati	pr	ati pr	127.0
nigacchati	pr	ati pr	126.0
upādiyati	pr	ati pr	126.0
pariharati	pr	ati pr	126.0
bhajati	pr	ati pr	126.0
gaṇhati	pr	ati pr	125.0
padahati	pr	ati pr	124.0
upasaṃharati	pr	ati pr	122.0
abhivadati	pr	ati pr	121.0
āgameti	pr	eti pr	120.0
pūjeti	pr	eti pr	120.0
yāpeti	pr	eti pr	117.0
māneti	pr	eti pr	116.0
paggaṇhāti	pr	āti pr	112.0
suṇoti	pr	oti pr	110.0
āyāti	pr	āti pr	109.0
vambheti	pr	eti pr	106.0
abhijānāti	pr	āti pr	106.0
saṇṭhāti	pr	āti pr	104.0
